Stimulus,set,expression,sex,total_rating,female_rating,male_rating
008_y_m_h_b.jpg,b,happy,male,94,100,92
013_y_m_h_a.jpg,a,happy,male,98,100,91
013_y_m_h_b.jpg,b,happy,male,95,100,100
016_y_m_h_a.jpg,a,happy,male,95,100,91
016_y_m_h_b.jpg,b,happy,male,97,100,100
025_y_m_h_a.jpg,a,happy,male,97,100,90
025_y_m_h_b.jpg,b,happy,male,97,100,100
031_y_m_h_a.jpg,a,happy,male,97,100,90
031_y_m_h_b.jpg,b,happy,male,99,100,100
037_y_m_h_a.jpg,a,happy,male,94,100,100
037_y_m_h_b.jpg,b,happy,male,97,100,100
041_y_m_h_a.jpg,a,happy,male,95,100,92
041_y_m_h_b.jpg,b,happy,male,96,100,100
049_y_m_h_a.jpg,a,happy,male,95,100,90
049_y_m_h_b.jpg,b,happy,male,95,100,100
057_y_m_h_a.jpg,a,happy,male,94,100,83
057_y_m_h_b.jpg,b,happy,male,97,100,92
062_y_m_h_a.jpg,a,happy,male,89,100,82
062_y_m_h_b.jpg,b,happy,male,97,89,100
066_y_m_h_a.jpg,a,happy,male,94,100,91
066_y_m_h_b.jpg,b,happy,male,100,100,100
072_y_m_h_a.jpg,a,happy,male,97,100,91
072_y_m_h_b.jpg,b,happy,male,100,100,100
081_y_m_h_a.jpg,a,happy,male,96,92,92
081_y_m_h_b.jpg,b,happy,male,100,100,100
089_y_m_h_a.jpg,a,happy,male,97,100,100
089_y_m_h_b.jpg,b,happy,male,98,100,100
099_y_m_h_a.jpg,a,happy,male,91,92,91
099_y_m_h_b.jpg,b,happy,male,100,100,100
105_y_m_h_a.jpg,a,happy,male,98,100,91
105_y_m_h_b.jpg,b,happy,male,98,100,100
109_y_m_h_a.jpg,a,happy,male,97,100,92
109_y_m_h_b.jpg,b,happy,male,95,100,100
114_y_m_h_a.jpg,a,happy,male,94,100,100
114_y_m_h_b.jpg,b,happy,male,91,100,100
119_y_m_h_a.jpg,a,happy,male,97,100,92
119_y_m_h_b.jpg,b,happy,male,95,100,100
123_y_m_h_a.jpg,a,happy,male,97,100,100
123_y_m_h_b.jpg,b,happy,male,93,100,91
127_y_m_h_a.jpg,a,happy,male,98,100,90
127_y_m_h_b.jpg,b,happy,male,100,100,100
135_y_m_h_a.jpg,a,happy,male,97,100,92
135_y_m_h_b.jpg,b,happy,male,95,100,91
